food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,Total_Nutrition,Nutrition_Density,Protein_Ratio,Carbohydrate_Ratio,Fat_Ratio,Micronutrient_Sum,Nutrient_to_Calorie,Fiber_to_Sugar_Ratio,Saturated_Fat_Ratio
sandwich with cold cuts,833,39.3,13.9,14.5,7.5,79.9,12.4,41.1,4.7,105.6,2.2,221.0,0.5,0.004,1.3,0.4,0.051,1.0,16.9,1.5,0.8,29.3,0.012,1.6,0.023,668.6,0.5,7.1,78.2,0.9,437.9,1102.6,0.065,166.871,635.9,0.7633853541416566,0.19735894357743097,0.38367346938775515,0.424609843937575,474.29999999999995,0.5693877551020408,0.3790322580645161,0.3536895674300255
big n tasty mcdonalds,524,31.7,8.6,9.7,6.9,38.5,8.8,24.7,3.2,76.6,0.7,133.9,0.0,0.3,0.1,0.017,0.6,7.7,0.0,0.0,4.4,0.0,0.0,0.0,150.8,0.2,4.4,41.8,0.4,227.4,464.0,0.0,4.8,257.7,597.4,1.1400763358778625,0.18854961832061068,0.29389312977099236,0.5444656488549618,505.8,0.9652671755725191,0.36363636363636365,0.27129337539432175
premium fish sandwich burger king,572,27.4,4.3,5.7,13.8,58.7,7.8,22.6,2.0,68.2,1.3,106.6,0.0,0.4,0.0,0.0,0.4,4.6,0.4,0.054,0.4,0.0,0.0,0.014,81.4,0.2,3.3,55.0,0.6,255.2,453.2,0.08,1.1,195.8,615.3,1.0756993006993005,0.15804195804195806,0.4104895104895105,0.43111888111888114,508.2,0.8884615384615384,0.25641025641025644,0.15693430656934307
whopper burger king,790,48.4,18.3,16.0,12.0,52.8,13.0,35.4,3.2,113.8,1.4,173.5,0.0,0.7,0.2,0.0,0.6,8.1,0.6,0.2,0.6,0.0,0.3,0.008,259.1,0.2,6.3,56.9,0.6,357.1,534.0,0.032,5.1,405.8,728.6,0.9222784810126583,0.17924050632911392,0.2673417721518987,0.5513924050632911,590.9,0.7479746835443037,0.24615384615384617,0.378099173553719
original chicken sandwich burger king,569,29.2,5.4,7.4,14.4,52.2,6.0,24.2,4.8,61.7,1.3,89.0,0.0,0.6,0.075,0.0,0.3,9.4,0.9,0.3,0.4,0.0,0.0,0.019,91.5,0.2,3.6,45.8,0.8,254.7,390.0,0.037,1.2,205.9,544.2,0.956414762741652,0.17012302284710018,0.3669595782073814,0.4618629173989455,435.8,0.7659050966608084,0.7999999999999999,0.18493150684931509
double whopper burger king,942,58.6,21.6,22.9,11.3,51.4,13.2,52.1,5.2,172.0,1.1,206.8,0.0,0.7,0.2,0.0,0.7,12.1,0.7,0.4,0.7,0.0,0.0,0.023,130.9,0.4,10.5,67.3,0.7,415.1,718.1,0.082,11.2,309.4,949.9000000000001,1.0083864118895967,0.22123142250530786,0.21825902335456476,0.5598726114649681,785.4,0.8337579617834394,0.393939393939394,0.36860068259385664
premium crispy chicken club sandwich mcdonalds,635,29.9,8.5,10.7,9.0,57.4,12.7,39.1,3.0,96.5,1.2,122.0,0.0,0.4,0.0,0.0,0.4,12.1,2.3,0.0,9.7,0.0,0.0,0.0,233.7,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,376.2,127.7,0.2011023622047244,0.24629921259842522,0.36157480314960627,0.42377952755905507,0.0,0.0,0.2362204724409449,0.28428093645484953
fish sandwich,565,27.4,4.3,5.7,13.8,58.7,7.8,22.6,0.0,77.0,1.3,106.6,0.2,0.0,0.5,0.0,0.0,0.3,4.7,0.8,0.2,4.0,0.0,0.0,0.0,81.4,0.2,3.3,55.0,0.6,255.2,453.2,0.1,109.3,367.6,0.6506194690265487,0.16,0.4155752212389381,0.4364601769911504,262.5,0.4646017699115044,0.0,0.15693430656934307
vanilla frosting,1931,75.0,13.7,22.5,36.7,313.7,291.5,0.0,0.0,0.0,0.9,69.6,0.0,0.046,0.026,0.0,1.4,1.0,0.3,0.0,0.0,0.0,7.1,0.032,13.9,0.0,0.7,4.6,0.0,83.2,157.1,0.029,0.3,403.3,548.3,0.28394614189539097,0.0,0.6498187467633351,0.34955981356809945,161.7,0.08373899533920248,0.0,0.18266666666666664
almond paste,1040,63.0,6.0,40.9,13.2,108.5,82.3,20.4,10.9,0.0,0.051,32.0,0.0,0.2,0.2,0.0,0.9,3.2,0.3,0.051,0.2,0.0,30.7,0.0,390.4,1.0,3.6,295.1,1.9,585.7,712.8,0.037,3.4,597.0,1207.8,1.1613461538461538,0.07846153846153846,0.4173076923076923,0.5451923076923076,1007.9,0.9691346153846153,0.13244228432563793,0.09523809523809523
vanilla wafer pie crust,935,63.7,13.1,27.5,18.8,88.4,12.9,6.5,0.2,68.6,0.9,15.0,0.4,0.3,0.071,0.081,0.4,3.7,0.5,0.082,0.2,0.059,5.4,0.028,73.9,0.1,2.9,17.6,0.3,137.3,139.0,0.009,0.4,236.2,311.159,0.3327903743315508,0.027807486631016044,0.37818181818181823,0.6131550802139039,156.659,0.16754973262032086,0.015503875968992248,0.20565149136577707
chocolate pie crust,881,40.8,8.6,26.4,3.7,117.4,47.9,11.1,4.9,0.0,0.9,9.1,0.0,0.6,0.1,0.0,0.5,5.6,0.3,0.049,0.0,0.0,3.3,0.078,58.2,1.4,7.8,72.8,3.3,218.4,340.3,0.033,3.8,240.2,585.2,0.664245175936436,0.05039727582292849,0.5330306469920545,0.41679909194097614,413.1,0.46889897843359823,0.10229645093945722,0.2107843137254902
yellow cake with chocolate frosting,546,25.6,8.3,10.4,6.8,79.7,56.5,4.6,2.2,23.0,0.4,32.2,0.0,0.032,0.0,0.0,0.1,1.2,0.2,0.0,0.0,0.0,6.5,0.089,46.1,0.2,2.9,28.8,0.3,198.7,269.3,0.084,0.6,161.1,410.1,0.7510989010989011,0.0336996336996337,0.5838827838827839,0.421978021978022,298.1,0.545970695970696,0.03893805309734514,0.32421875
graham cracker pie crust,917,45.4,9.1,31.0,3.1,117.7,33.2,9.3,3.5,0.0,0.9,8.0,0.0,0.3,0.1,0.0,0.4,5.9,0.3,0.1,0.0,0.0,3.4,0.058,53.1,0.4,4.8,42.1,2.4,214.1,206.8,0.039,2.3,233.8,422.6,0.4608505997818975,0.040567066521264995,0.5134133042529989,0.44558342420937835,248.9,0.2714285714285714,0.10542168674698794,0.20044052863436124
chocolate cake with chocolate frosting,537,27.7,8.2,10.1,6.4,72.9,55.1,4.8,3.0,30.4,0.5,30.4,0.095,0.0,0.098,0.0,0.061,1.1,0.3,0.0,0.1,0.0,6.0,0.02,41.4,0.3,4.2,42.8,0.5,189.1,372.6,0.084,0.8,154.164,520.8,0.9698324022346367,0.035754189944134075,0.5430167597765364,0.4642458100558659,415.40000000000003,0.7735567970204842,0.0544464609800363,0.296028880866426
banana cream pie,3190,161.3,44.6,67.8,39.0,390.2,143.0,52.2,8.3,604.9,2.8,568.1,0.7,1.6,0.3,0.006,2.5,12.5,4.6,1.6,19.0,0.009,4.7,0.069,889.5,0.6,12.3,189.8,1.8,1091.1,1956.9,0.1,5.7,1533.5,2748.809,0.8616956112852665,0.06545454545454546,0.48927899686520376,0.4550783699059561,2146.7090000000003,0.6729495297805643,0.058041958041958046,0.27650340979541227
chocolate semisweet,806,50.4,29.8,16.7,1.6,107.4,91.6,7.1,9.9,0.0,0.042,1.2,0.0,0.023,0.094,0.0,0.2,0.7,0.2,0.036,0.0,0.0,0.4,0.066,53.8,1.2,5.3,193.2,1.3,221.8,613.2,0.055,2.7,233.9,978.9000000000001,1.2145161290322581,0.03523573200992556,0.5330024813895782,0.5627791563275434,806.4000000000001,1.0004962779156328,0.10807860262008735,0.5912698412698413
chaptti roti indian bread,491,2.5,2.5,99.9,17.5,0.089,68.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.551,126.989,0.25863340122199596,0.05702647657841141,0.0007250509164969449,0.045824847250509164,0.0,0.0,0.0,1.0
microwave popcorn,465,26.3,12.7,9.2,3.6,49.8,0.3,7.3,8.7,0.0,0.6,0.8,0.7,0.072,0.073,0.034,0.0,0.073,1.4,0.2,0.3,0.0,0.0,2.5,0.052,20.0,0.2,1.8,95.7,0.7,239.3,341.9,0.004,93.352,332.4,0.7148387096774194,0.06279569892473118,0.4283870967741935,0.5090322580645161,241.10000000000002,0.518494623655914,29.0,0.48288973384030415
cheese imitation,441,36.2,6.6,16.0,12.0,1.1,1.1,28.3,0.0,17.0,0.8,42.9,0.1,0.053,0.098,0.034,0.4,0.093,0.0,0.034,0.0,0.0,0.3,0.037,796.7,0.05,0.8,33.9,0.0,598.9,62.2,0.063,3.4,863.2,160.10000000000002,0.36303854875283453,0.2566893424036281,0.00997732426303855,0.7387755102040816,96.1,0.21791383219954646,0.0,0.18232044198895025
monterey cheese,421,34.2,21.5,9.9,1.0,0.8,0.6,27.7,0.0,100.6,0.7,46.3,0.2,0.068,0.002,0.022,0.4,0.1,0.2,0.072,0.0,0.089,0.3,0.036,843.0,0.019,0.8,30.5,0.061,501.7,91.5,0.021,3.4,906.7,182.989,0.43465320665083135,0.26318289786223276,0.007600950118764846,0.7311163895486936,122.089,0.2899976247030879,0.0,0.6286549707602339
fontina cheese,420,33.6,20.7,9.4,1.8,1.7,1.7,27.6,0.0,125.3,0.9,41.0,0.3,0.018,0.1,0.044,0.2,0.2,0.5,0.072,0.0,0.044,0.3,0.021,594.0,0.087,0.2,15.1,0.03,373.7,69.1,0.052,3.8,657.4,145.444,0.34629523809523804,0.26285714285714284,0.01619047619047619,0.7200000000000001,84.244,0.2005809523809524,0.0,0.6160714285714285
monterey cheese low fat,350,24.4,15.9,6.4,0.9,0.8,0.6,31.9,0.0,73.5,0.6,52.0,0.2,0.04,0.049,0.007,0.4,0.1,0.0,0.077,0.0,0.002,0.2,0.074,796.7,0.089,0.8,30.5,0.0,501.7,91.5,0.03,3.4,854.8,177.902,0.5082914285714285,0.36457142857142855,0.009142857142857144,0.6274285714285714,122.002,0.34857714285714286,0.0,0.6516393442622951
colby cheese,445,36.3,22.8,10.5,1.1,2.9,0.6,26.8,0.0,107.4,0.7,43.2,0.3,0.029,0.071,0.089,0.4,0.1,0.2,0.084,0.0,0.053,0.3,0.073,774.1,0.047,0.9,29.4,0.01,516.4,143.5,0.023,3.5,841.3,237.053,0.5327033707865169,0.2408988764044944,0.02606741573033708,0.7341573033707864,172.953,0.38865842696629216,0.0,0.628099173553719
coconut meat,1405,133.0,117.9,5.7,1.5,60.5,24.7,13.2,35.7,0.0,0.022,186.6,0.0,0.3,0.1,0.0,0.054,2.1,1.2,0.2,13.1,0.0,1.0,0.019,55.6,1.7,9.6,127.0,6.0,448.6,1413.3,0.056,4.4,320.7,1774.8,1.2632028469750889,0.03758007117437722,0.17224199288256228,0.8519572953736655,1540.3,1.0962989323843415,1.445344129554656,0.8864661654135338
profeel proteiinirahka valio,140,0.4,0.2,16.8,16.8,19.3,0.2,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,194.7,228.10000000000002,1.6292857142857144,5.0,0.5514285714285715,0.025714285714285714,0.0,0.0,0.0,0.5
danone low fat alsafi,88,1.7,1.0,11.1,7.1,0.089,255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.743,19.289,0.21919318181818184,0.0,0.004045454545454546,0.17386363636363636,0.0,0.0,0.0,0.5882352941176471
peanuts cooked,572,39.6,5.5,19.7,12.5,38.3,4.4,24.3,15.8,0.0,1.4,75.2,0.0,0.5,0.1,0.0,0.1,9.5,1.5,0.3,0.0,0.0,7.4,0.0,99.0,0.9,1.8,183.6,1.8,356.4,324.0,0.027,3.3,218.8,623.7,1.0903846153846155,0.16993006993006993,0.2678321678321678,0.6230769230769231,507.6,0.8874125874125874,3.590909090909091,0.1388888888888889
pumpkin squash seeds dried,721,63.3,11.2,21.0,27.1,13.8,1.8,39.0,7.7,0.0,0.013,6.7,0.0,0.4,0.024,0.0,0.2,6.4,1.0,0.2,2.5,0.0,2.8,0.03,59.3,1.7,11.4,763.7,5.9,1590.6,1043.6,0.078,10.1,197.0,1927.1,2.6728155339805824,0.21636615811373092,0.0765603328710125,0.7901525658807211,1807.3,2.506657420249653,4.277777777777778,0.1769352290679305
sunflower seeds dried,269,23.7,2.0,8.5,10.6,9.2,1.2,9.6,4.0,0.0,0.014,2.2,0.0,0.7,0.1,0.0,0.2,3.8,0.5,0.6,0.6,0.0,16.2,0.0,35.9,0.8,2.4,149.5,0.9,303.6,296.7,0.077,2.3,85.4,490.1,1.8219330855018587,0.14275092936802974,0.13680297397769517,0.7929368029739776,446.2,1.658736059479554,3.3333333333333335,0.08438818565400844
pine nuts dried,909,92.3,6.6,25.3,46.0,17.7,4.8,18.5,5.0,0.0,0.086,3.1,0.0,0.5,0.018,0.0,0.3,5.9,0.4,0.1,1.1,0.0,12.6,0.002,21.6,1.8,7.5,338.9,11.9,776.3,806.0,0.061,8.7,163.7,1264.0,1.3905390539053906,0.0814081408140814,0.07788778877887788,0.9138613861386138,1144.9,1.2595159515951597,1.0416666666666667,0.07150595882990249
pistachio nuts raw,691,55.8,6.8,29.3,16.9,33.8,9.4,24.9,12.7,0.0,0.037,4.8,0.0,1.1,0.087,0.0,0.2,1.6,0.6,2.1,6.9,0.0,2.8,0.0,129.2,1.6,4.8,148.8,1.5,602.7,1260.8,0.078,2.7,268.1,1534.0,2.219971056439942,0.14413892908827786,0.19565846599131692,0.7267727930535456,1409.6,2.039942112879884,1.351063829787234,0.12186379928315412
peanuts raw,828,71.9,10.0,35.7,22.7,23.5,5.8,37.7,12.4,0.0,0.038,9.5,0.0,0.9,0.4,0.0,0.2,17.6,2.6,0.5,0.0,0.0,12.2,0.0,134.3,1.7,6.7,245.3,2.8,549.0,1029.3,0.032,4.8,286.5,1416.6,1.710869565217391,0.1821256038647343,0.11352657004830918,0.7815217391304348,1274.6,1.5393719806763284,2.137931034482759,0.13908205841446453
hazelnuts raw,471,45.6,3.3,34.2,5.9,12.5,3.3,11.2,7.3,0.0,0.0,4.0,0.0,0.5,0.034,0.0,0.022,1.4,0.7,0.4,4.7,0.0,11.3,0.097,85.5,1.3,3.5,122.3,4.6,217.5,510.0,0.012,1.8,170.3,706.7,1.5004246284501062,0.09511677282377919,0.10615711252653928,0.8713375796178344,632.3,1.3424628450106155,2.2121212121212124,0.07236842105263157
pecans raw,753,78.4,6.7,44.5,23.6,15.1,4.3,10.0,10.5,0.0,0.0,3.8,0.0,0.7,0.019,0.0,0.1,1.3,0.9,0.2,1.2,0.0,1.5,0.033,76.3,1.3,2.8,131.9,4.9,301.9,446.9,0.039,4.9,194.3,689.2,0.9152722443559097,0.05312084993359894,0.0802124833997344,0.9370517928286853,578.8,0.7686586985391766,2.441860465116279,0.08545918367346939
virginia peanuts raw,822,71.2,9.3,36.9,21.5,24.1,5.8,36.8,12.4,0.0,0.008,10.1,0.0,1.0,0.3,0.0,0.2,18.1,2.6,0.5,0.0,0.0,9.6,0.0,129.9,1.6,3.7,249.7,2.5,554.8,1007.4,0.042,6.5,278.1,1398.1,1.7008515815085157,0.17907542579075425,0.11727493917274939,0.7795620437956206,1257.1,1.5293187347931871,2.137931034482759,0.1306179775280899
puff pastry,1367,94.3,13.5,21.6,54.5,112.0,1.8,18.1,3.7,0.0,0.6,18.1,0.0,0.8,0.1,0.0,0.6,9.3,0.0,0.062,0.0,0.0,1.3,0.03,24.5,0.3,6.4,39.2,1.2,147.0,151.9,0.051,1.3,259.0,414.5,0.30321872713972203,0.052962692026335044,0.32772494513533285,0.620848573518654,191.10000000000002,0.13979517190929044,2.055555555555556,0.14316012725344646
bagel chips,789,26.5,12.0,10.6,3.6,116.1,10.5,21.6,7.2,0.0,0.4,8.8,0.0,0.9,0.2,0.0,0.6,13.4,0.8,0.2,0.0,0.0,1.4,0.031,42.0,0.3,8.8,68.3,1.2,229.3,245.0,0.03,1.8,222.2,484.4,0.6139416983523447,0.10950570342205324,0.5885931558935361,0.30228136882129275,313.3,0.397084917617237,0.6857142857142857,0.4528301886792453
gatto di patate home made,202,9.4,4.6,21.0,9.4,4.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,39.0,0.19306930693069307,0.0,0.07920792079207921,0.41881188118811885,0.0,0.0,0.0,0.4893617021276595
corn chips unsalted,490,29.4,3.8,8.0,15.0,50.5,1.2,5.8,3.9,0.0,0.024,0.9,0.0,0.1,0.028,0.0,0.1,1.3,0.0,0.2,1.8,0.0,1.2,0.026,109.1,0.2,1.5,61.6,0.0,161.9,162.8,0.087,0.7,202.0,311.4,0.6355102040816326,0.0473469387755102,0.4122448979591837,0.5399999999999999,224.4,0.4579591836734694,3.25,0.1292517006802721
potato chips reduced fat,801,35.4,7.1,8.2,18.6,113.7,0.4,12.1,10.0,0.0,0.8,1.7,0.0,0.4,0.028,0.0,0.5,11.9,0.5,1.1,43.7,0.0,9.3,0.076,35.7,1.0,2.3,151.3,0.7,328.1,2964.8,0.08,0.1,252.9,3285.8,4.102122347066167,0.060424469413233456,0.5677902621722847,0.39775280898876403,3116.1000000000004,3.8902621722846447,25.0,0.20056497175141244
ranch flavor tortilla chips,992,48.8,7.0,14.0,26.8,124.2,6.0,14.2,7.9,0.0,1.0,6.2,0.0,0.093,0.0,0.0,0.1,2.6,1.2,0.4,0.0,0.0,0.0,0.073,265.3,0.2,2.7,172.3,0.7,499.0,512.8,0.032,2.8,463.1,879.2,0.8862903225806452,0.05725806451612903,0.5008064516129033,0.442741935483871,685.0999999999999,0.6906249999999999,1.3166666666666667,0.1434426229508197
potato chips barbecue,970,64.2,15.9,12.9,32.4,104.5,14.0,15.2,8.7,0.0,1.3,3.8,0.0,0.4,0.2,0.0,0.4,9.3,1.2,1.2,67.1,0.0,12.2,0.015,99.0,0.7,3.8,148.5,1.0,368.3,2496.8,0.02,1.9,362.5,2834.9,2.922577319587629,0.06268041237113402,0.4309278350515464,0.5956701030927836,2645.3,2.727113402061856,0.6214285714285713,0.24766355140186916
adobo fresco,780,60.2,8.4,43.1,5.9,53.6,5.8,5.8,3.7,0.0,49.4,63.6,0.0,0.1,0.094,0.0,0.037,1.4,0.0,0.0,16.7,0.0,7.7,0.088,354.2,0.088,9.2,66.2,0.0,109.4,538.6,0.024,0.7,503.4,725.3,0.9298717948717948,0.029743589743589743,0.27487179487179486,0.6946153846153847,604.8000000000001,0.7753846153846154,0.6379310344827587,0.13953488372093023
white sauce,368,26.6,7.1,11.1,7.2,22.9,11.0,9.6,0.5,17.5,0.9,187.2,0.3,0.2,0.018,0.055,0.5,1.0,0.8,0.1,2.0,0.012,0.7,0.034,295.0,0.033,0.8,35.0,0.1,245.0,390.0,0.073,1.0,357.7,483.41200000000003,1.3136195652173914,0.10434782608695652,0.24891304347826085,0.6505434782608696,425.012,1.1549239130434783,0.045454545454545456,0.26691729323308266
salsa con queso,358,23.8,6.2,6.9,9.1,27.9,4.9,7.9,1.8,22.5,2.0,184.3,0.069,0.06,0.095,0.041,0.2,0.3,1.4,0.1,1.0,0.0,4.7,0.09,245.0,0.048,0.4,20.0,0.08,500.0,262.5,0.073,1.0,307.813,342.3,0.9561452513966481,0.08826815642458101,0.311731843575419,0.5983240223463687,282.5,0.7891061452513967,0.36734693877551017,0.2605042016806723
soy flour roasted,375,18.6,2.7,4.1,10.5,28.6,6.5,29.6,8.2,0.0,0.083,3.2,0.0,0.4,0.2,0.0,0.8,2.8,1.0,0.3,0.0,0.0,1.7,0.087,159.8,1.9,4.9,313.7,1.8,404.6,1734.9,0.029,3.0,249.7,2132.3,5.686133333333334,0.31573333333333337,0.3050666666666667,0.4464,2048.6,5.462933333333333,1.2615384615384615,0.14516129032258066
azumaya tofu vitasoy,316,16.6,2.0,4.7,9.9,9.1,1.6,32.8,2.4,0.0,0.03,331.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,777.0,60.9,0.19272151898734177,0.41518987341772146,0.11518987341772151,0.4727848101265823,0.0,0.0,1.4999999999999998,0.12048192771084336
soybean curd cheese,340,18.2,2.6,4.0,10.3,15.5,3.6,28.1,0.0,0.0,0.094,159.5,0.0,0.0,0.006,0.0,0.3,1.1,0.3,0.2,0.0,0.0,1.4,0.011,423.0,0.9,12.6,513.0,2.0,499.5,447.8,0.068,3.9,497.4,1021.3,3.003823529411765,0.3305882352941177,0.18235294117647058,0.4817647058823529,960.8,2.8258823529411763,0.0,0.14285714285714288
soybean cooked,296,15.4,2.2,3.4,8.7,17.1,5.2,28.6,10.3,0.0,0.075,107.6,0.0,0.0,0.3,0.022,0.0,0.5,0.7,0.3,0.4,2.9,0.0,0.6,0.099,175.4,0.7,8.8,147.9,1.4,421.4,885.8,0.064,72.517,503.4,1.7006756756756756,0.3864864864864865,0.2310810810810811,0.46824324324324323,433.09999999999997,1.4631756756756755,1.9807692307692308,0.14285714285714288
meatless meatballs,284,13.0,2.1,3.2,6.7,11.5,1.8,30.2,6.6,0.0,0.8,83.5,0.0,1.4,0.1,0.073,0.3,3.6,0.7,0.3,0.0,0.0,2.5,0.0,36.0,1.0,3.1,25.9,0.0,495.4,259.2,0.016,2.6,100.4,345.4,1.2161971830985914,0.4253521126760563,0.1619718309859155,0.4119718309859155,285.09999999999997,1.0038732394366197,3.6666666666666665,0.16153846153846155
soybean raw,830,37.1,5.4,8.2,20.9,56.1,13.6,67.9,17.3,0.0,0.023,15.9,0.0,1.6,0.7,0.0,1.6,3.0,1.5,0.7,11.2,0.0,1.6,0.099,515.2,3.1,29.2,520.8,4.7,1309.4,3342.4,0.071,9.1,734.0,4039.0,4.866265060240964,0.3272289156626506,0.27036144578313254,0.40228915662650605,3863.2,4.654457831325301,1.272058823529412,0.14555256064690028
avocado,432,39.6,5.7,26.5,4.9,23.0,1.8,5.4,18.1,0.0,0.045,197.7,0.0,0.0,0.2,0.2,0.0,0.4,4.7,3.8,0.7,27.0,0.0,5.6,0.078,32.4,0.5,1.5,78.3,0.4,140.4,1309.5,0.052,87.302,252.5,0.5844907407407407,0.05,0.21296296296296297,0.8250000000000001,168.9,0.3909722222222222,10.055555555555555,0.14393939393939395
bacon ranch salad mcdonalds,389,20.1,5.2,7.9,5.2,19.4,4.9,28.1,3.2,70.2,0.9,246.8,0.0,0.2,0.0,0.0,0.2,9.6,1.8,0.0,30.9,0.0,0.0,0.0,146.7,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,250.3,69.0,0.17737789203084833,0.28894601542416454,0.19948586118251926,0.4650385604113111,0.0,0.0,0.6530612244897959,0.25870646766169153
potato salad with egg,393,23.5,3.6,5.0,12.5,40.5,12.4,4.9,3.3,42.5,0.8,177.5,0.09,0.002,0.046,0.003,0.063,2.0,1.1,0.3,2.0,0.083,1.7,0.047,37.5,0.1,1.3,37.5,0.3,132.5,605.0,0.039,0.8,113.038,712.383,1.8126793893129771,0.049872773536895676,0.4122137404580153,0.5381679389312977,642.583,1.6350712468193382,0.2661290322580645,0.15319148936170213
caesar salad with crispy chicken mcdonalds,349,16.4,4.3,6.5,4.7,19.2,4.5,25.7,3.4,55.6,0.7,243.4,0.0,0.2,0.0,0.0,0.2,9.6,1.8,0.0,30.9,0.0,0.0,0.0,188.5,0.0,1.8,0.0,0.0,0.0,784.9,0.0,0.0,285.9,848.6999999999999,2.431805157593123,0.2945558739255014,0.22005730659025788,0.42292263610315184,784.9,2.248997134670487,0.7555555555555555,0.2621951219512195
